sample_type,N_rate,P_rate,K_rate,Zn_rate,global_warming,freshwater_eutrophication,terrestrial_acidification,terrestrial_ecotoxicity
OAT_N,122.4828,50,30,20,5081.151204,0.372497106,26.08305313,13500.31769
OAT_N,147.9035,50,30,20,5207.342974,0.40982741,26.63098914,13632.16838
OAT_N,124.0198,50,30,20,5088.781078,0.374754191,26.11618273,13508.28971
OAT_N,122.9282,50,30,20,5083.362229,0.373151176,26.0926536,13502.62786
OAT_N,125.1461,50,30,20,5094.372183,0.376408163,26.14045981,13514.13155
OAT_N,134.9059,50,30,20,5142.821141,0.390740431,26.35082954,13564.75314
OAT_N,127.0539,50,30,20,5103.842758,0.379209768,26.1815819,13524.02682
OAT_N,144.2722,50,30,20,5189.316713,0.404494845,26.55271749,13613.33375
OAT_N,143.0895,50,30,20,5183.445631,0.40275805,26.52722473,13607.19939
OAT_N,125.5362,50,30,20,5096.308692,0.376981025,26.1488683,13516.15489
OAT_N,127.6059,50,30,20,5106.582961,0.38002038,26.1934801,13526.8899
OAT_N,148.1813,50,30,20,5208.72201,0.410235359,26.63697704,13633.60925
OAT_N,149.2571,50,30,20,5214.062426,0.411815172,26.6601656,13639.18915
OAT_N,136.8585,50,30,20,5152.51411,0.393607825,26.39291728,13574.88078
OAT_N,145.8774,50,30,20,5197.285141,0.406852081,26.58731712,13621.65951
OAT_N,131.743,50,30,20,5127.120081,0.386095712,26.28265412,13548.34798
OAT_N,142.4145,50,30,20,5180.09484,0.401766812,26.51267529,13603.69833
OAT_N,125.2848,50,30,20,5095.060708,0.376611844,26.14344945,13514.85095
OAT_N,129.6617,50,30,20,5116.788228,0.383039322,26.23779229,13537.55281
OAT_N,132.4621,50,30,20,5130.68979,0.38715171,26.29815412,13552.07777
OAT_N,125.5083,50,30,20,5096.170192,0.376940054,26.14826693,13516.01018
OAT_N,148.2923,50,30,20,5209.273029,0.410398363,26.63936961,13634.18498
OAT_N,138.7656,50,30,20,5161.981211,0.396408402,26.43402428,13584.77242
OAT_N,124.6422,50,30,20,5091.870756,0.375668186,26.12959839,13511.51794
OAT_N,139.3392,50,30,20,5164.828638,0.397250733,26.44638807,13587.74754
OAT_N,134.6546,50,30,20,5141.573654,0.390371397,26.34541284,13563.44971
OAT_N,137.5465,50,30,20,5155.929434,0.394618153,26.40774693,13578.44926
OAT_N,129.7845,50,30,20,5117.397824,0.383219654,26.24043921,13538.18974
OAT_N,132.4895,50,30,20,5130.825807,0.387191947,26.29874472,13552.21989
OAT_N,121.2735,50,30,20,5075.148076,0.370721249,26.05698701,13494.04536
OAT_N,135.3211,50,30,20,5144.88225,0.391350153,26.35977906,13566.90668
OAT_N,135.8512,50,30,20,5147.513737,0.392128605,26.37120521,13569.65617
OAT_N,123.5435,50,30,20,5086.416661,0.374054744,26.10591622,13505.81927
OAT_N,132.3161,50,30,20,5129.965026,0.386937309,26.29500713,13551.32051
OAT_N,131.8923,50,30,20,5127.861226,0.386314959,26.28587224,13549.12236
OAT_N,127.5547,50,30,20,5106.328797,0.379945193,26.1923765,13526.62434
OAT_N,120.5048,50,30,20,5071.332146,0.369592413,26.0404179,13490.05831
OAT_N,142.8727,50,30,20,5182.369407,0.402439679,26.52255166,13606.0749
OAT_N,132.6721,50,30,20,5131.732258,0.387460096,26.30268061,13553.16699
OAT_N,120.1153,50,30,20,5069.398616,0.369020432,26.03202234,13488.03807
OAT_N,128.7196,50,30,20,5112.111517,0.381655848,26.21748559,13532.66638
OAT_N,121.0542,50,30,20,5074.059442,0.370399207,26.05226006,13492.9079
OAT_N,135.5891,50,30,20,5146.212638,0.391743711,26.36555572,13568.29672
OAT_N,120.7819,50,30,20,5072.707708,0.369999334,26.04639071,13491.49555
OAT_N,142.2444,50,30,20,5179.250441,0.40151702,26.50900883,13602.81607
OAT_N,121.8218,50,30,20,5077.869911,0.371526428,26.06880546,13496.88925
OAT_N,142.3675,50,30,20,5179.861526,0.401697793,26.51166222,13603.45456
OAT_N,122.4615,50,30,20,5081.045468,0.372465827,26.08259401,13500.20721
OAT_N,139.3761,50,30,20,5165.011815,0.397304921,26.44718344,13587.93893
OAT_N,124.7385,50,30,20,5092.348802,0.375809602,26.13167411,13512.01743
OAT_N,147.1259,50,30,20,5203.482863,0.408685504,26.61422819,13628.13516
OAT_N,128.9538,50,30,20,5113.274117,0.381999771,26.22253371,13533.88111
OAT_N,123.8421,50,30,20,5087.898952,0.374493239,26.11235246,13507.36803
OAT_N,140.9442,50,30,20,5172.796074,0.399607676,26.48098339,13596.07226
OAT_N,141.5243,50,30,20,5175.675768,0.400459553,26.49348728,13599.08109
OAT_N,147.2585,50,30,20,5204.141107,0.408880227,26.61708634,13628.82293
OAT_N,120.3605,50,30,20,5070.615822,0.369380508,26.03730755,13489.30986
OAT_N,120.5039,50,30,20,5071.327678,0.369591091,26.0403985,13490.05364
OAT_N,126.9613,50,30,20,5103.38308,0.379073784,26.17958593,13523.54653
OAT_N,128.4603,50,30,20,5110.824317,0.381275066,26.21189645,13531.32146
OAT_N,126.239,50,30,20,5099.797485,0.378013087,26.16401696,13519.80014
OAT_N,121.5051,50,30,20,5076.29777,0.371061354,26.06197908,13495.24661
OAT_N,149.4792,50,30,20,5215.16496,0.412141326,26.6649529,13640.34113
OAT_N,124.9199,50,30,20,5093.249296,0.376075988,26.13558413,13512.9583
OAT_N,130.2079,50,30,20,5119.499638,0.383841417,26.24956548,13540.38581
OAT_N,142.816,50,30,20,5182.08794,0.402356415,26.52132951,13605.78081
OAT_N,129.2305,50,30,20,5114.647693,0.382406105,26.2284979,13535.31629
OAT_N,126.1536,50,30,20,5099.373548,0.377887677,26.16217619,13519.35719
OAT_N,132.5074,50,30,20,5130.914665,0.387218234,26.29913055,13552.31273
OAT_N,145.891,50,30,20,5197.352653,0.406872053,26.58761027,13621.73005
OAT_N,124.2762,50,30,20,5090.053882,0.375130715,26.12170936,13509.6196
OAT_N,143.9088,50,30,20,5187.512746,0.403961192,26.54488451,13611.44889
OAT_N,148.7749,50,30,20,5211.66872,0.411107061,26.64977192,13636.68811
OAT_N,141.9144,50,30,20,5177.612277,0.401032415,26.50189578,13601.10444
OAT_N,132.2795,50,30,20,5129.783339,0.386883562,26.29421823,13551.13067
OAT_N,121.7338,50,30,20,5077.433067,0.3713972,26.06690865,13496.43282
OAT_N,134.7404,50,30,20,5141.999577,0.390497395,26.34726223,13563.89473
OAT_N,124.1779,50,30,20,5089.565908,0.374986361,26.11959053,13509.10974
OAT_N,131.8193,50,30,20,5127.498844,0.386207759,26.28429875,13548.74373
OAT_N,135.4917,50,30,20,5145.729131,0.391600679,26.36345629,13567.79153
OAT_N,139.5005,50,30,20,5165.629353,0.397487602,26.44986485,13588.58416
OAT_N,139.5758,50,30,20,5166.003152,0.39759818,26.45148792,13588.97472
OAT_N,123.8652,50,30,20,5088.013623,0.374527161,26.11285037,13507.48784
OAT_N,127.8531,50,30,20,5107.810095,0.380383393,26.19880843,13528.17206
OAT_N,120.49,50,30,20,5071.258677,0.369570679,26.04009889,13489.98154
OAT_N,120.16,50,30,20,5069.620513,0.369086074,26.03298583,13488.26992
OAT_N,131.1306,50,30,20,5124.080045,0.385196402,26.26945402,13545.17162
OAT_N,124.6941,50,30,20,5092.128394,0.375744401,26.13071708,13511.78714
OAT_N,127.3672,50,30,20,5105.398022,0.379669849,26.18833499,13525.65183
OAT_N,136.3601,50,30,20,5150.039985,0.392875924,26.38217441,13572.2957
OAT_N,131.4131,50,30,20,5125.482413,0.385611254,26.27554322,13546.63688
OAT_N,120.4252,50,30,20,5070.937001,0.36947552,26.03870214,13489.64544
OAT_N,120.3189,50,30,20,5070.409314,0.369319419,26.03641088,13489.09409
