sample_type,N_rate,P_rate,K_rate,Zn_rate,global_warming,freshwater_eutrophication,terrestrial_acidification,terrestrial_ecotoxicity
OAT_N,132.5444,50.0,35.0,20.0,5108.835202328537,0.39066607553684574,22.855880550548086,13565.860458029763
OAT_N,132.8962,50.0,35.0,20.0,5111.075678743084,0.3911826939135037,22.90830744615531,13567.685154923774
OAT_N,124.1852,50.0,35.0,20.0,5055.598731480108,0.3783905885153593,21.610153132242477,13522.503419154447
OAT_N,129.947,50.0,35.0,20.0,5092.293379022274,0.3868517930708671,22.46880374938207,13552.388406544605
OAT_N,135.8745,50.0,35.0,20.0,5130.043304966629,0.3955563281124812,23.35214776220704,13583.132837582687
OAT_N,143.4557,50.0,35.0,20.0,5178.324998525358,0.40668932196443985,24.48193395031816,13622.454588841369
OAT_N,149.3256,50.0,35.0,20.0,5215.70809262924,0.4153092713935028,25.356694139416653,13652.900263366953
OAT_N,123.6677,50.0,35.0,20.0,5052.302976663373,0.377630639652595,21.533032840949872,13519.81927861253
OAT_N,149.451,50.0,35.0,20.0,5216.506716115266,0.41549342132082767,25.37538183898785,13653.550681191029
OAT_N,139.4083,50.0,35.0,20.0,5152.548693123891,0.40074571418250327,23.878771308815367,13601.461757093824
OAT_N,143.9759,50.0,35.0,20.0,5181.637948584614,0.4074532357777924,24.559456608347944,13625.15273359481
OAT_N,136.4352,50.0,35.0,20.0,5133.614183663719,0.39637971618465884,23.435705921294506,13586.04104550897
OAT_N,141.9623,50.0,35.0,20.0,5168.8141188281315,0.40449626373902503,24.259380437243035,13614.708703845628
OAT_N,148.6867,50.0,35.0,20.0,5211.639188759843,0.4143710466042852,25.261482247422748,13649.586451981007
OAT_N,141.4228,50.0,35.0,20.0,5165.378254627881,0.4037040078714668,24.178981602166008,13611.910454913523
OAT_N,132.3461,50.0,35.0,20.0,5107.572307294414,0.39037487194363574,22.826328949073066,13564.831926494571
OAT_N,136.2828,50.0,35.0,20.0,5132.643607752472,0.39615591675145057,23.412994554351524,13585.250585569667
OAT_N,125.2951,50.0,35.0,20.0,5062.667249878361,0.38002047690720875,21.77555566616646,13528.260187439408
OAT_N,128.662,50.0,35.0,20.0,5084.109717303421,0.38496477029086296,22.277306987428442,13545.723439208645
OAT_N,129.0247,50.0,35.0,20.0,5086.419611548891,0.385497395319896,22.331358252456134,13547.604671623234
OAT_N,149.717,50.0,35.0,20.0,5218.200765934112,0.4158840423787896,25.415022413835832,13654.930355363296
OAT_N,146.6574,50.0,35.0,20.0,5198.715371852399,0.41139101911209663,24.959066388253497,13639.060990335185
OAT_N,131.3503,50.0,35.0,20.0,5101.230447107929,0.388912539426649,22.677930135412815,13559.666965815082
OAT_N,131.2145,50.0,35.0,20.0,5100.365590095148,0.3887131170970578,22.657692578779894,13558.962605842917
OAT_N,129.4335,50.0,35.0,20.0,5089.023098638903,0.3860977182089743,22.392279556959355,13549.725012982724
OAT_N,137.71,50.0,35.0,20.0,5141.732885577488,0.39825176026244025,23.625682631129898,13592.653108045843
OAT_N,122.5601,50.0,35.0,20.0,5045.249106064306,0.3760041288112468,21.367973063876075,13514.074439841082
OAT_N,123.8438,50.0,35.0,20.0,5053.424488592315,0.3778892425409676,21.55927609369698,13520.732664408533
OAT_N,149.1372,50.0,35.0,20.0,5214.508246817699,0.4150326059524501,25.328617882644618,13651.923080607346
OAT_N,135.8675,50.0,35.0,20.0,5129.99872470824,0.3955460486109558,23.351104589184718,13583.096530367628
OAT_N,121.3951,50.0,35.0,20.0,5037.829677346436,0.37429332605739096,21.194359268019287,13508.031881906134
OAT_N,122.348,50.0,35.0,20.0,5043.89832423507,0.37569265991502976,21.336364921299914,13512.97433122477
OAT_N,127.3344,50.0,35.0,20.0,5075.654752869221,0.38301518940157636,22.079461772510445,13538.83751653532
OAT_N,125.4327,50.0,35.0,20.0,5063.543570386154,0.380222542537192,21.79606146729084,13528.97388355259
OAT_N,144.3884,50.0,35.0,20.0,5184.2649995254915,0.408058992117677,24.620929304305815,13627.292265910834
OAT_N,140.7656,50.0,35.0,20.0,5161.192805225836,0.40273890952826163,24.081042557842338,13608.50172609392
OAT_N,136.1664,50.0,35.0,20.0,5131.90230174152,0.39598498332608684,23.395648077237592,13584.646848450675
OAT_N,136.3453,50.0,35.0,20.0,5133.0416457738165,0.3962476980150694,23.422308599193627,13585.574757132701
OAT_N,124.8533,50.0,35.0,20.0,5059.853598713077,0.3793716935109397,21.709716545986613,13525.96868349464
OAT_N,143.5194,50.0,35.0,20.0,5178.730678876711,0.40678286542832015,24.49142682482123,13622.784984498418
OAT_N,133.0736,50.0,35.0,20.0,5112.205469862869,0.39144320585215947,22.934744431035135,13568.605283488283
OAT_N,131.9721,50.0,35.0,20.0,5105.190447774685,0.38982565286214044,22.770593704737927,13562.892083861381
OAT_N,130.6025,50.0,35.0,20.0,5096.468001790141,0.38781439496370185,22.56648945168603,13555.7883178977
OAT_N,145.8721,50.0,35.0,20.0,5193.7141037218025,0.4102378058909782,24.842037277621454,13634.987839479996
OAT_N,147.8939,50.0,35.0,20.0,5206.590156066688,0.4132068196315324,25.143335451409648,13645.474400538245
OAT_N,137.2928,50.0,35.0,20.0,5139.075902177407,0.39763910197153157,23.56350951899989,13590.489198028285
OAT_N,135.1316,50.0,35.0,20.0,5125.312065829715,0.3944653793006017,23.24143729959587,13579.279604715848
OAT_N,132.6886,50.0,35.0,20.0,5109.753555651383,0.3908778332682672,22.877369914807787,13566.60838666
OAT_N,125.5509,50.0,35.0,20.0,5064.296339892121,0.3803961192629481,21.81367618889622,13529.586956812593
OAT_N,142.9965,50.0,35.0,20.0,5175.400533574932,0.40601498666437924,24.413501800054263,13620.07283553345
OAT_N,139.2793,50.0,35.0,20.0,5151.727142647835,0.40055627765439394,23.859547120261276,13600.79266698773
OAT_N,143.0637,50.0,35.0,20.0,5175.82850405548,0.40611366987902225,24.423516261068496,13620.42138479803
OAT_N,142.6861,50.0,35.0,20.0,5173.423717545724,0.4055591641967424,24.36724452775045,13618.4628698828
OAT_N,122.6048,50.0,35.0,20.0,5045.533782857171,0.37606977077098697,21.374634468747143,13514.30628734296
OAT_N,130.6882,50.0,35.0,20.0,5097.013791525008,0.387940245432376,22.57926086997352,13556.232821944926
OAT_N,136.4487,50.0,35.0,20.0,5133.70015987633,0.3963995409376005,23.4377177549804,13586.111066566587
OAT_N,145.7196,50.0,35.0,20.0,5192.74289094972,0.41001385960774817,24.81931100820672,13634.196860866188
OAT_N,120.3947,50.0,35.0,20.0,5031.458521561579,0.3728242384394019,21.04527494065866,13502.8430621996
OAT_N,137.179,50.0,35.0,20.0,5138.351154548142,0.39747198664673433,23.54655050615139,13589.898946446308
OAT_N,142.8427,50.0,35.0,20.0,5174.421041612004,0.40578913133086586,24.390581798506826,13619.275114151147
OAT_N,147.4499,50.0,35.0,20.0,5203.762493963052,0.41255480553478396,25.077168476851362,13643.171485754452
OAT_N,127.6744,50.0,35.0,20.0,5077.820079705339,0.383514479475663,22.13013017645148,13540.601009838216
OAT_N,146.3242,50.0,35.0,20.0,5196.593351553003,0.4109017148394916,24.909411352391274,13637.332766898351
OAT_N,133.168,50.0,35.0,20.0,5112.806666490309,0.39158183227272936,22.948812364364645,13569.09491221708
OAT_N,145.4344,50.0,35.0,20.0,5190.92656385072,0.4095950433456025,24.776809158783244,13632.71760118976
OAT_N,146.9503,50.0,35.0,20.0,5200.5807372356285,0.4118211428259202,25.00271572800152,13640.580187948191
